id_producto,clave,no_parte,nombre,modelo,id_marca,id_categoria,id_subcategoria
1,ACCACT110,ACER-007,Mouse Pad,MG-1000,6,610,798
2,ACCAPC060,RBC35,BaterÌa,RBC35,15,743,769
3,ACCAPC080,AR3100,Gabinete de Piso,AR3100,15,796,700
4,ACCBRT120,AD24,Adaptador de Corriente,AD24,30,604,623
5,ACCCDM1000,66445872,Cable UTP,66445872,39,677,552
6,ACCCDM1010,664464,Cable UTP,664464,39,632,1058
7,ACCCDM1030,66446815,Cable UTP,66446815,39,677,552
8,ACCCDM1040,66446835,Cable UTP,66446835,39,632,1058
9,ACCCDM1050,66446875,Cable UTP,66446875,39,677,552
10,ACCCDM1070,820030,Cable UTP,820030,39,677,552
11,ACCCDM1080,RG59UL-1000B / RG59UL-305B,Cable Siames RG-59,RG59UL-1000B / RG59UL-305B,173,632,1058
12,ACCCDM1085,RG59UL-1000W / RG59UL-305W,Cable Siames RG-60,RG59UL-1000W,173,632,1058
13,ACCCDM1100,66545742,Cable UTP,66545742,39,677,552
14,ACCCDM550,720270,Cable de Audio Polarizado,720270,39,677,680
15,ACCCDM560,720271,Cable de Audio Polarizado,720271,39,677,680
16,ACCCDM580,800070,Cable Coaxial,800070,39,677,678
17,ACCCDM590,800071,Cable Coaxial,800071,39,677,678
18,ACCCDM600,802004,Cable Microcoaxial,802004,39,677,678
19,ACCCDM610,800021,Cable Coaxial,800021,39,677,678
20,ACCCDM620,800027,Cable Coaxial,800027,39,677,678
21,ACCCDM630,800069,Cable Coaxial,800069,39,677,678
22,ACCCDM650,820080,Cable Siames RG-63,820080,39,677,678
23,ACCCDM670,656250,Cable de Alarma,656250,39,677,552
24,ACCCDM680,656252,Cable de Alarma,656252,39,677,552
25,ACCCDM690,656254,Cable de Alarma,656254,39,677,552
26,ACCCDM700,66659162,Cable de Alarma,66659162,39,677,552
27,ACCCDM710,66657162,Cable de Alarma,66657162,39,677,552
28,ACCCDM720,640005,Cable Acometida,640005,39,677,552
29,ACCCDM740,660002,Cable EKC,660002,39,677,552
30,ACCCDM750,660003X,Cable EKC,660003X,39,677,552
31,ACCCDM760,660004,Cable EKC,660004,39,677,552
32,ACCCDM770,660362,Cable EKC,660362,39,677,552
33,ACCCDM780,660366,Cable EKC,660366,39,677,552
34,ACCCDM790,660565,Cable EKTEL,660565,39,677,552
35,ACCCDM810,660567,Cable EKTEL,660567,39,677,552
36,ACCCDM820,660568,Cable EKTEL,660568,39,677,552
37,ACCCDM850,630024,Cable ICEV,630024,39,677,552
38,ACCCDM860,630241X,Cable ICEV,630241X,39,677,552
